Used for Revenue Companies													
Norway Terrarium: Harvard or "VC Method" 		Determine the multiple exit value (multipled by earnings) for comparable companies in a region											
6 companies	 	In this case - exit valuation multiples			20	SaaS	No source- estimated	https://angel.co/valuations					
 	 				7	Product, Hardware							
Startup:	AI Monitoring	 											
		2017	2018	2019	2020	2021	2022	2023		Annual Earnings(Projected NI)	$806,215.68		
	Revenues 	$360,000	$1,440,000	$2,592,000	$3,110,400	$3,732,480	$4,478,976	$5,374,771		In Year	5		
	Net Profit Margin 	-2%	-2%	-1%	0%	2%	5%	15%		PE(multiple)	20		
	Net Profit 	-$7,200	-$28,800	-$25,920	$0	$74,650	$223,949	$806,216		Required Rate of Return	50%		
	 									Value of firm	$2,123,366.40		
	 												
	 									Calculate the Required Ownership Percentage			
	 												
										Initial Investment	$1,000,000.00		
										Equity Stake	47.10%		
													
										Current Outstanding Shares	1,000,000		 
										Total Outstanding Shares	1,890,182		 
										VC Owns # Shares	890,182		
										Share Price	$1.12		
													
										Pre-Money Valuation	$1,123,366.40		
										Post-Money Valuation	$2,123,366.40		
													
Startup:	Ski + Eco Data												
		2018	2019	2020	2021	2022	2023			Annual Earnings(Projected NI)	$96,000.00		
	Revenues 	$10,000.00	$40,000	$80,000	$160,000	$320,000	$640,000			In Year	5		
	Net Profit Margin 	1%	1%	0%	2%	5%	15%			PE(multiple)	7		
	Net Profit 	$100	$400	$0	$3,200	$16,000	$96,000			Required Rate of Return	50%		
										Value of firm	$88,494		
													
										Calculate the Required Ownership Percentage			
													
										Initial Investment	$500,000.00		
										Equity Stake	565.01%		
													
										Current Outstanding Shares	1,000,000		 
										Total Outstanding Shares	-215,049		 
										VC Owns # Shares	-1,215,049		
										Share Price	($0.41)		
													
										Pre-Money Valuation	($411,506.17)		
										Post-Money Valuation	$88,493.83		
													
													
Startup:	Conversion Tech												
		2017	2018	2019	2020	2021	2022	2023		Annual Earnings(Projected NI)	$1,830,442.16		
	Revenues 	$1,800,000	$3,269,394	$5,884,909	$7,061,891	$8,474,269	$10,169,123	$12,202,948		In Year	5		
	Net Profit Margin 	-2%	-2%	-1%	0%	2%	12%	15%		PE(multiple)	20		
	Net Profit 	-$36,000	-$65,388	-$58,849	$0	$169,485	$1,220,295	$1,830,442		Required Rate of Return	50%		
										Value of firm	$4,820,917.62		
													
										Calculate the Required Ownership Percentage			
													
										Initial Investment	$1,000,000.00		
										Equity Stake	20.74%		
													
										Current Outstanding Shares	1,000,000		 
										Total Outstanding Shares	1,261,717		 
										VC Owns # Shares	261,717		
										Share Price	$3.82		
													
										Pre-Money Valuation	$3,820,917.62		
										Post-Money Valuation	$4,820,917.62		
													
Startup:	Tire Skin Product												
		2018	2019	2020	2021	2022	2023	 		Annual Earnings(Projected NI)	$80,000.00		
	Revenues 	$10,000	$50,000	$100,000	$200,000	$400,000	$800,000	 		In Year	5		
	Net Profit Margin 	-2%	0%	1%	2%	3%	10%	 		PE(multiple)	7		
	Net Profit 	-$200	$0	$1,000	$4,000	$12,000	$80,000	 		Required Rate of Return	50%		
										Value of firm	$73,745		
													
										Calculate the Required Ownership Percentage			
													
										Initial Investment	$250,000.00		
										Equity Stake	339.01%		
													
										Current Outstanding Shares	1,000,000		 
										Total Outstanding Shares	-418,398		 
										VC Owns # Shares	-1,418,398		
										Share Price	($0.18)		
													
										Pre-Money Valuation	($176,255.14)		
										Post-Money Valuation	$73,744.86		
													
Startup:	Legal Market									Annual Earnings(Projected NI)	$422,400.00		
		2017	2018	2019	2020	2021	2022	 		In Year	5		
	Revenues 	$30,000	$120,000	$240,000	$480,000	$960,000	$1,920,000	 		PE(multiple)	20		
	Net Profit Margin 	-2%	1%	2%	5%	10%	22%	 		Required Rate of Return	50%		
	Net Profit 	-$600	$1,200	$4,800	$24,000	$96,000	$422,400	 		Value of firm	$1,112,494		
													
										Calculate the Required Ownership Percentage			
													
										Initial Investment	$500,000		
										Equity Stake	44.94%		
													
										Current Outstanding Shares	1,000,000		 
										Total Outstanding Shares	1,816,335		 
										VC Owns # Shares	816,335		
										Share Price	$0.61		
													
										Pre-Money Valuation	$612,493.83		
										Post-Money Valuation	$1,112,493.83		
													
Startup:	Mini Carrier									Annual Earnings(Projected NI)	$261,273.60		
		2018	2019	2020	2021	2022	2023			In Year	5		
	Revenues 	$420,000	$840,000	$1,008,000	$1,209,600	$1,451,520	$1,741,824			PE(multiple)	7		
	Net Profit Margin 	1%	1%	2%	5%	7%	15%			Required Rate of Return	50%		
	Net Profit 	5%	5%	$20,160	$60,480	$101,606	$261,274			Value of firm	$240,845		
													
					 					Calculate the Required Ownership Percentage			
													
										Initial Investment	$250,000		
		 	 							Equity Stake	103.80%		
		 	 										
										Current Outstanding Shares	1,000,000		 
										Total Outstanding Shares	-26,306,886		 
										VC Owns # Shares	-27,306,886		
										Share Price	($0.01)		
													
										Pre-Money Valuation	($9,155.20)		
										Post-Money Valuation	$240,844.80		
													
Startup:	Robotics Research as a Service												
	 	2017	2018	2019	2020	2021	2022	2022		Annual Earnings(Projected NI)	$1,965,649.94		
	Revenues 	$3,520,279	$3,590,685	$4,308,822	$5,170,586	$6,204,703	$7,445,644	$8,934,772		In Year	5		
	Net Profit Margin 	53%	50%	50%	14%	15%	22%	22%		PE(multiple)	20		
	Net Profit 	$1,867,879	$1,795,342	$2,154,411	$723,882	$930,705	$1,638,042	$1,965,650		Required Rate of Return	50%		
										Value of firm	$5,177,020		
													
										Calculate the Required Ownership Percentage			
													
					 					Initial Investment	$2,000,000		
										Equity Stake	38.63%		
													
										Current Outstanding Shares	1,000,000		 
										Total Outstanding Shares	1,629,521		 
										VC Owns # Shares	629,521		
										Share Price	$3.18		
													
										Pre-Money Valuation	$3,177,020.42		
										Post-Money Valuation	$5,177,020.42		
													
													
													
													
													
													
													
													
													
													
													
													
	Annual Earnings(Projected NI)	Projected Net Income at exit date.											
	In Year	Investment exit year.											
	PE(multiple)	The choice of multiple for the valuation is something that will be a matter of discussion during the venture capital negotiations. PE ratios for comparable public companies will be used as a benchmark to select a PE for the company, recognizing that PE ratios for public companies are likely to be higher due to their greater liquidity relative to a private company.											
	Required Rate of Return	The venture capital investor uses the target rate of return to calculate the present value of the projected terminal value. The target rate of return is typically very high (30-70%) in relation to conventional financing alternatives.											
	Value of firm	Here the terminal value is discounted to the present value.  The terminal value of the company is estimated at a specified future point in time. That future point in time is the planned exit date of the venture capital investor, typically 4-7 years after the investment is made in the company.  The terminal value is normally estimated by using a multiple such as a price-earnings ratio applied to the projected net income of the company in the projected exit year: Annual Earnings x PE / (1+r) ^ Year											
	Initial Investment	Investment amount Entreprenuer is seeking.											
	Equity Stake	VC requires this ownership %.  Valuation assuming no future dilution. Formula: Initial Investment / Value of the Firm											
	Current Outstanding Shares	The company currently has [8] shares outstanding, which are owned by the current owners. If the venture capitalist will own [7]% of the shares after the investment (thus, 1-[7]% owned by the existing owners), the total number of shares outstanding after the investment will be [8]/(1-[7]%) = [9] shares. Therefore the venture capitalist will own [10] of the [9] shares.											
	VC owns and Share price	Since the venture capitalist is investing [6] to acquire [10] shares the price per share is [6]/[10] or [11] per share											
	Pre-Money Valuation	Pre-Money Valuation = New Price x Old Shares: [11] x [8]											
	Post-Money Valuation	Post-Money Valuation = New Price x Total Shares: [11] x [9]											
													
	https://hackernoon.com/how-investors-value-pre-revenue-startups-part-ii-6bec0307145a												
	http://chadjardine.net/blog/wp-content/uploads/2016/05/HBR-basic-VC-formulas.pdf												
	http://www.vcmethod.com/												
	https://www.bvp.com/strategy/cloud-computing/index												
